"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Mott Haven,All Races and Ethnicities,2014,Number,42944.25886,201
Hunts Point,All Races and Ethnicities,2014,Number,24521.74114,202
Washington Heights,All Races and Ethnicities,2014,Number,54115,112
Manhattanville,All Races and Ethnicities,2014,Number,31868,109
Central Harlem,All Races and Ethnicities,2014,Number,38808,110
East Harlem,All Races and Ethnicities,2014,Number,40846,111
Upper East Side,All Races and Ethnicities,2014,Number,19364,108
Upper West Side,All Races and Ethnicities,2014,Number,12819,107
Chelsea/Clinton,All Races and Ethnicities,2014,Number,11553.56589,104
Midtown Business District,All Races and Ethnicities,2014,Number,5782.43411,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2014,Number,14112,106
Lower East Side,All Races and Ethnicities,2014,Number,32971,103
Battery Park/Tribeca,All Races and Ethnicities,2014,Number,4132.93808,101
Greenwich Village,All Races and Ethnicities,2014,Number,6101.06192,102
Tottenville,All Races and Ethnicities,2014,Number,15995,503
South Beach,All Races and Ethnicities,2014,Number,10992,502
St. George,All Races and Ethnicities,2014,Number,39425,501
Williamsburg/Greenpoint,All Races and Ethnicities,2014,Number,33583,301
Bushwick,All Races and Ethnicities,2014,Number,36013,304
Bedford Stuyvesant,All Races and Ethnicities,2014,Number,36248,303
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2014,Number,19576,302
Park Slope,All Races and Ethnicities,2014,Number,11185,306
Crown Heights North,All Races and Ethnicities,2014,Number,33142,308
Brownsville,All Races and Ethnicities,2014,Number,42799,316
East New York,All Races and Ethnicities,2014,Number,43900,305
Canarsie,All Races and Ethnicities,2014,Number,25216,318
East Flatbush,All Races and Ethnicities,2014,Number,25325,317
Crown Heights South,All Races and Ethnicities,2014,Number,21821,309
Sunset Park,All Races and Ethnicities,2014,Number,40241,307
Bay Ridge,All Races and Ethnicities,2014,Number,24751,310
Borough Park,All Races and Ethnicities,2014,Number,54889,312
Flatbush/Midwood,All Races and Ethnicities,2014,Number,40558,314
Sheepshead Bay,All Races and Ethnicities,2014,Number,25548,315
Bensonhurst,All Races and Ethnicities,2014,Number,37160,311
Coney Island,All Races and Ethnicities,2014,Number,36323,313
Astoria,All Races and Ethnicities,2014,Number,31548,401
Jackson Heights,All Races and Ethnicities,2014,Number,27847,403
Flushing,All Races and Ethnicities,2014,Number,46318,407
Bayside,All Races and Ethnicities,2014,Number,8546,411
Queens Village,All Races and Ethnicities,2014,Number,14607,413
Fresh Meadows/Briarwood,All Races and Ethnicities,2014,Number,23147,408
Elmhurst/Corona,All Races and Ethnicities,2014,Number,32166,404
Rego Park/Forest Hills,All Races and Ethnicities,2014,Number,12970,406
Sunnyside/Woodside,All Races and Ethnicities,2014,Number,22132,402
Ridgewood/Glendale,All Races and Ethnicities,2014,Number,18655,405
Woodhaven,All Races and Ethnicities,2014,Number,19105,409
Jamaica/St. Albans,All Races and Ethnicities,2014,Number,36435,412
Howard Beach,All Races and Ethnicities,2014,Number,23129,410
The Rockaways,All Races and Ethnicities,2014,Number,21209,414
Riverdale,All Races and Ethnicities,2014,Percent,0.21845,208
Williamsbridge,All Races and Ethnicities,2014,Percent,0.20851,212
Throgs Neck,All Races and Ethnicities,2014,Percent,0.09856,210
Pelham Parkway,All Races and Ethnicities,2014,Percent,0.18347,211
Morrisania,All Races and Ethnicities,2014,Percent,0.418,203
East Tremont,All Races and Ethnicities,2014,Percent,0.418,206
Bedford Park,All Races and Ethnicities,2014,Percent,0.31787,207
University Heights,All Races and Ethnicities,2014,Percent,0.45318,205
Concourse/Highbridge,All Races and Ethnicities,2014,Percent,0.37388,204
Unionport/Soundview,All Races and Ethnicities,2014,Percent,0.29399,209
Mott Haven,All Races and Ethnicities,2014,Percent,0.42709,201
Hunts Point,All Races and Ethnicities,2014,Percent,0.42709,202
Washington Heights,All Races and Ethnicities,2014,Percent,0.24696,112
Manhattanville,All Races and Ethnicities,2014,Percent,0.26423,109
Central Harlem,All Races and Ethnicities,2014,Percent,0.29624,110
East Harlem,All Races and Ethnicities,2014,Percent,0.32419,111
Upper East Side,All Races and Ethnicities,2014,Percent,0.08815,108
Upper West Side,All Races and Ethnicities,2014,Percent,0.06774,107
Chelsea/Clinton,All Races and Ethnicities,2014,Percent,0.11845,104
Midtown Business District,All Races and Ethnicities,2014,Percent,0.11845,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2014,Percent,0.10188,106
Lower East Side,All Races and Ethnicities,2014,Percent,0.22617,103
Battery Park/Tribeca,All Races and Ethnicities,2014,Percent,0.06698,101
Greenwich Village,All Races and Ethnicities,2014,Percent,0.06698,102
Tottenville,All Races and Ethnicities,2014,Percent,0.09407,503
South Beach,All Races and Ethnicities,2014,Percent,0.08881,502
St. George,All Races and Ethnicities,2014,Percent,0.22703,501
Williamsburg/Greenpoint,All Races and Ethnicities,2014,Percent,0.22372,301
Bushwick,All Races and Ethnicities,2014,Percent,0.26469,304
Bedford Stuyvesant,All Races and Ethnicities,2014,Percent,0.27354,303
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2014,Percent,0.14653,302
Park Slope,All Races and Ethnicities,2014,Percent,0.08998,306
Crown Heights North,All Races and Ethnicities,2014,Percent,0.26367,308
Brownsville,All Races and Ethnicities,2014,Percent,0.35934,316
East New York,All Races and Ethnicities,2014,Percent,0.28353,305
Canarsie,All Races and Ethnicities,2014,Percent,0.11988,318
East Flatbush,All Races and Ethnicities,2014,Percent,0.18533,317
Crown Heights South,All Races and Ethnicities,2014,Percent,0.203,309
Sunset Park,All Races and Ethnicities,2014,Percent,0.26788,307
Bay Ridge,All Races and Ethnicities,2014,Percent,0.19286,310
Borough Park,All Races and Ethnicities,2014,Percent,0.32351,312
Flatbush/Midwood,All Races and Ethnicities,2014,Percent,0.22551,314
Sheepshead Bay,All Races and Ethnicities,2014,Percent,0.18899,315
Bensonhurst,All Races and Ethnicities,2014,Percent,0.19857,311
Coney Island,All Races and Ethnicities,2014,Percent,0.33208,313
Astoria,All Races and Ethnicities,2014,Percent,0.17296,401
Jackson Heights,All Races and Ethnicities,2014,Percent,0.15457,403
Flushing,All Races and Ethnicities,2014,Percent,0.18235,407
Bayside,All Races and Ethnicities,2014,Percent,0.07095,411
Queens Village,All Races and Ethnicities,2014,Percent,0.07668,413
Fresh Meadows/Briarwood,All Races and Ethnicities,2014,Percent,0.15037,408
Elmhurst/Corona,All Races and Ethnicities,2014,Percent,0.20903,404
Rego Park/Forest Hills,All Races and Ethnicities,2014,Percent,0.12107,406
Sunnyside/Woodside,All Races and Ethnicities,2014,Percent,0.14879,402
Ridgewood/Glendale,All Races and Ethnicities,2014,Percent,0.11124,405
Woodhaven,All Races and Ethnicities,2014,Percent,0.12682,409
Jamaica/St. Albans,All Races and Ethnicities,2014,Percent,0.14657,412
Howard Beach,All Races and Ethnicities,2014,Percent,0.1716,410
The Rockaways,All Races and Ethnicities,2014,Percent,0.20487,414
Bronx,Asian,2013,Number,13267,36005
Bronx,Black,2013,Number,107545,36005
Bronx,Latino,2013,Number,269273,36005
Bronx,White,2013,Number,18736,36005
Brooklyn,Asian,2013,Number,70144,36047
Brooklyn,Black,2013,Number,192269,36047
Brooklyn,Latino,2013,Number,155450,36047
Brooklyn,White,2013,Number,175332,36047
Manhattan,Asian,2013,Number,35447,36061
Manhattan,Black,2013,Number,65320,36061
Manhattan,Latino,2013,Number,129824,36061
Manhattan,White,2013,Number,56553,36061
Queens,Asian,2013,Number,104834,36081
Queens,Black,2013,Number,53945,36081
Queens,Latino,2013,Number,128800,36081
Queens,White,2013,Number,59927,36081
Staten Island,Asian,2013,Number,5449,36085
Staten Island,Black,2013,Number,13377,36085
Staten Island,Latino,2013,Number,19813,36085
Staten Island,White,2013,Number,27347,36085
New York City,Asian,2013,Number,229141,3651000
New York City,Black,2013,Number,432456,3651000
New York City,Latino,2013,Number,703160,3651000
New York City,White,2013,Number,337895,3651000
Bronx,All Races and Ethnicities,2013,Number,417920,36005
Brooklyn,All Races and Ethnicities,2013,Number,603063,36047
Manhattan,All Races and Ethnicities,2013,Number,298060,36061
Queens,All Races and Ethnicities,2013,Number,362536,36081
Staten Island,All Races and Ethnicities,2013,Number,67484,36085
New York City,All Races and Ethnicities,2013,Number,1749063,3651000
Bronx,Asian,2013,Percent,0.26787,36005
Bronx,Black,2013,Percent,0.26623,36005
Bronx,Latino,2013,Percent,0.35336,36005
Bronx,White,2013,Percent,0.13678,36005
Brooklyn,Asian,2013,Percent,0.24167,36047
Brooklyn,Black,2013,Percent,0.23984,36047
Brooklyn,Latino,2013,Percent,0.30942,36047
Brooklyn,White,2013,Percent,0.19006,36047
Manhattan,Asian,2013,Percent,0.19777,36061
Manhattan,Black,2013,Percent,0.33034,36061
Manhattan,Latino,2013,Percent,0.31342,36061
Manhattan,White,2013,Percent,0.07643,36061
Queens,Asian,2013,Percent,0.19105,36081
Queens,Black,2013,Percent,0.13753,36081
Queens,Latino,2013,Percent,0.20301,36081
Queens,White,2013,Percent,0.10083,36081
Staten Island,Asian,2013,Percent,0.14522,36085
Staten Island,Black,2013,Percent,0.30277,36085
Staten Island,Latino,2013,Percent,0.23625,36085
Staten Island,White,2013,Percent,0.09336,36085
New York City,Asian,2013,Percent,0.20732,3651000
New York City,Black,2013,Percent,0.23506,3651000
New York City,Latino,2013,Percent,0.29336,3651000
New York City,White,2013,Percent,0.12577,3651000
Bronx,All Races and Ethnicities,2013,Percent,0.30286,36005
Brooklyn,All Races and Ethnicities,2013,Percent,0.23446,36047
Manhattan,All Races and Ethnicities,2013,Percent,0.18842,36061
Queens,All Races and Ethnicities,2013,Percent,0.15977,36081
Staten Island,All Races and Ethnicities,2013,Percent,0.14464,36085
New York City,All Races and Ethnicities,2013,Percent,0.2115,3651000
Riverdale,Asian,2013,Number,646,208
Riverdale,Black,2013,Number,2371,208
Riverdale,Latino,2013,Number,9206,208
Riverdale,White,2013,Number,2984,208
Williamsbridge,Asian,2013,Number,32,212
Williamsbridge,Black,2013,Number,16752,212
Williamsbridge,Latino,2013,Number,11435,212
Williamsbridge,White,2013,Number,1813,212
Throgs Neck,Asian,2013,Number,404,210
Throgs Neck,Black,2013,Number,354,210
Throgs Neck,Latino,2013,Number,3746,210
Throgs Neck,White,2013,Number,2729,210
Pelham Parkway,Asian,2013,Number,1183,211
Pelham Parkway,Black,2013,Number,4234,211
Pelham Parkway,Latino,2013,Number,16409,211
Pelham Parkway,White,2013,Number,3845,211
Morrisania,Asian,2013,Number,212.82261,203
Morrisania,Black,2013,Number,10398.95301,203
Morrisania,Latino,2013,Number,19556.68543,203
Morrisania,White,2013,Number,1428.1131,203
East Tremont,Asian,2013,Number,222.17739,206
East Tremont,Black,2013,Number,10856.04699,206
East Tremont,Latino,2013,Number,20416.31457,206
East Tremont,White,2013,Number,1490.8869,206
Bedford Park,Asian,2013,Number,4011,207
Bedford Park,Black,2013,Number,2787,207
Bedford Park,Latino,2013,Number,34897,207
Bedford Park,White,2013,Number,1156,207
University Heights,Asian,2013,Number,1028,205
University Heights,Black,2013,Number,12110,205
University Heights,Latino,2013,Number,38431,205
University Heights,White,2013,Number,765,205
Concourse/Highbridge,Asian,2013,Number,1979,204
Concourse/Highbridge,Black,2013,Number,15734,204
Concourse/Highbridge,Latino,2013,Number,34679,204
Concourse/Highbridge,White,2013,Number,135,204
Unionport/Soundview,Asian,2013,Number,3549,209
Unionport/Soundview,Black,2013,Number,19427,209
Unionport/Soundview,Latino,2013,Number,32324,209
Unionport/Soundview,White,2013,Number,1968,209
Mott Haven,Black,2013,Number,7970.01549,201
Mott Haven,Latino,2013,Number,30663.64958,201
Mott Haven,White,2013,Number,268.61645,201
Hunts Point,Black,2013,Number,4550.98451,202
Hunts Point,Latino,2013,Number,17509.35042,202
Hunts Point,White,2013,Number,153.38355,202
Washington Heights,Asian,2013,Number,349,112
Washington Heights,Black,2013,Number,3815,112
Washington Heights,Latino,2013,Number,50625,112
Washington Heights,White,2013,Number,5557,112
Manhattanville,Asian,2013,Number,831,109
Manhattanville,Black,2013,Number,9894,109
Manhattanville,Latino,2013,Number,15762,109
Manhattanville,White,2013,Number,4254,109
Central Harlem,Asian,2013,Number,1554,110
Central Harlem,Black,2013,Number,32050,110
Central Harlem,Latino,2013,Number,12486,110
Central Harlem,White,2013,Number,3930,110
East Harlem,Asian,2013,Number,3052,111
East Harlem,Black,2013,Number,9595,111
East Harlem,Latino,2013,Number,18908,111
East Harlem,White,2013,Number,2606,111
Upper East Side,Asian,2013,Number,2644,108
Upper East Side,Black,2013,Number,834,108
Upper East Side,Latino,2013,Number,3795,108
Upper East Side,White,2013,Number,6687,108
Upper West Side,Asian,2013,Number,2999,107
Upper West Side,Black,2013,Number,2577,107
Upper West Side,Latino,2013,Number,6142,107
Upper West Side,White,2013,Number,5861,107
Chelsea/Clinton,Asian,2013,Number,1293.57818,104
Chelsea/Clinton,Black,2013,Number,1406.20812,104
Chelsea/Clinton,Latino,2013,Number,3086.99338,104
Chelsea/Clinton,White,2013,Number,4841.08806,104
Midtown Business District,Asian,2013,Number,647.42182,105
Midtown Business District,Black,2013,Number,703.79188,105
Midtown Business District,Latino,2013,Number,1545.00662,105
Midtown Business District,White,2013,Number,2422.91194,105
Murray Hill/Stuyvesant,Asian,2013,Number,3397,106
Murray Hill/Stuyvesant,Black,2013,Number,1258,106
Murray Hill/Stuyvesant,Latino,2013,Number,825,106
Murray Hill/Stuyvesant,White,2013,Number,8014,106
Lower East Side,Asian,2013,Number,14873,103
Lower East Side,Black,2013,Number,2721,103
Lower East Side,Latino,2013,Number,14938,103
Lower East Side,White,2013,Number,5452,103
Battery Park/Tribeca,Asian,2013,Number,1537.43358,101
Battery Park/Tribeca,Black,2013,Number,188.19124,101
Battery Park/Tribeca,Latino,2013,Number,690.97685,101
Battery Park/Tribeca,White,2013,Number,2797.83027,101
Greenwich Village,Asian,2013,Number,2269.56642,102
Greenwich Village,Black,2013,Number,277.80876,102
Greenwich Village,Latino,2013,Number,1020.02315,102
Greenwich Village,White,2013,Number,4130.16973,102
Tottenville,Asian,2013,Number,1568,503
Tottenville,Black,2013,Number,8,503
Tottenville,Latino,2013,Number,2788,503
Tottenville,White,2013,Number,7715,503
South Beach,Asian,2013,Number,2925,502
South Beach,Black,2013,Number,3047,502
South Beach,Latino,2013,Number,3574,502
South Beach,White,2013,Number,9528,502
St. George,Asian,2013,Number,956,501
St. George,Black,2013,Number,10322,501
St. George,Latino,2013,Number,13451,501
St. George,White,2013,Number,10104,501
Williamsburg/Greenpoint,Asian,2013,Number,2527,301
Williamsburg/Greenpoint,Black,2013,Number,1062,301
Williamsburg/Greenpoint,Latino,2013,Number,11064,301
Williamsburg/Greenpoint,White,2013,Number,22984,301
Bushwick,Asian,2013,Number,1091,304
Bushwick,Black,2013,Number,4049,304
Bushwick,Latino,2013,Number,25243,304
Bushwick,White,2013,Number,3018,304
Bedford Stuyvesant,Asian,2013,Number,1609,303
Bedford Stuyvesant,Black,2013,Number,27462,303
Bedford Stuyvesant,Latino,2013,Number,12321,303
Bedford Stuyvesant,White,2013,Number,13185,303
Fort Greene/Brooklyn Hts,Asian,2013,Number,1438,302
Fort Greene/Brooklyn Hts,Black,2013,Number,10317,302
Fort Greene/Brooklyn Hts,Latino,2013,Number,6424,302
Fort Greene/Brooklyn Hts,White,2013,Number,6977,302
Park Slope,Asian,2013,Number,1584,306
Park Slope,Black,2013,Number,1277,306
Park Slope,Latino,2013,Number,4809,306
Park Slope,White,2013,Number,4774,306
Crown Heights North,Asian,2013,Number,950,308
Crown Heights North,Black,2013,Number,21438,308
Crown Heights North,Latino,2013,Number,4518,308
Crown Heights North,White,2013,Number,3507,308
Brownsville,Asian,2013,Number,45,316
Brownsville,Black,2013,Number,31968,316
Brownsville,Latino,2013,Number,9970,316
Brownsville,White,2013,Number,1105,316
East New York,Asian,2013,Number,1320,305
East New York,Black,2013,Number,22393,305
East New York,Latino,2013,Number,20995,305
East New York,White,2013,Number,1951,305
Canarsie,Asian,2013,Number,699,318
Canarsie,Black,2013,Number,15023,318
Canarsie,Latino,2013,Number,1334,318
Canarsie,White,2013,Number,3322,318
East Flatbush,Black,2013,Number,23725,317
East Flatbush,Latino,2013,Number,1653,317
East Flatbush,White,2013,Number,404,317
Crown Heights South,Asian,2013,Number,595,309
Crown Heights South,Black,2013,Number,15839,309
Crown Heights South,Latino,2013,Number,2441,309
Crown Heights South,White,2013,Number,3663,309
Sunset Park,Asian,2013,Number,16515,307
Sunset Park,Black,2013,Number,351,307
Sunset Park,Latino,2013,Number,29617,307
Sunset Park,White,2013,Number,2715,307
Bay Ridge,Asian,2013,Number,7338,310
Bay Ridge,Black,2013,Number,1364,310
Bay Ridge,Latino,2013,Number,3674,310
Bay Ridge,White,2013,Number,9698,310
Borough Park,Asian,2013,Number,6984,312
Borough Park,Black,2013,Number,223,312
Borough Park,Latino,2013,Number,5083,312
Borough Park,White,2013,Number,42693,312
Flatbush/Midwood,Asian,2013,Number,4401,314
Flatbush/Midwood,Black,2013,Number,9993,314
Flatbush/Midwood,Latino,2013,Number,7180,314
Flatbush/Midwood,White,2013,Number,15480,314
Sheepshead Bay,Asian,2013,Number,7690,315
Sheepshead Bay,Black,2013,Number,1735,315
Sheepshead Bay,Latino,2013,Number,1737,315
Sheepshead Bay,White,2013,Number,13579,315
Bensonhurst,Asian,2013,Number,11306,311
Bensonhurst,Black,2013,Number,87,311
Bensonhurst,Latino,2013,Number,4542,311
Bensonhurst,White,2013,Number,11987,311
Coney Island,Asian,2013,Number,4052,313
Coney Island,Black,2013,Number,3963,313
Coney Island,Latino,2013,Number,2845,313
Coney Island,White,2013,Number,14290,313
Astoria,Asian,2013,Number,8359,401
Astoria,Black,2013,Number,3119,401
Astoria,Latino,2013,Number,9967,401
Astoria,White,2013,Number,10985,401
Jackson Heights,Asian,2013,Number,7538,403
Jackson Heights,Black,2013,Number,1949,403
Jackson Heights,Latino,2013,Number,29327,403
Jackson Heights,White,2013,Number,1234,403
Flushing,Asian,2013,Number,29223,407
Flushing,Black,2013,Number,1211,407
Flushing,Latino,2013,Number,7736,407
Flushing,White,2013,Number,3950,407
Bayside,Asian,2013,Number,2883,411
Bayside,Black,2013,Number,104,411
Bayside,Latino,2013,Number,3029,411
Bayside,White,2013,Number,2130,411
Queens Village,Asian,2013,Number,2539,413
Queens Village,Black,2013,Number,7330,413
Queens Village,Latino,2013,Number,2988,413
Queens Village,White,2013,Number,3371,413
Fresh Meadows/Briarwood,Asian,2013,Number,11828,408
Fresh Meadows/Briarwood,Black,2013,Number,575,408
Fresh Meadows/Briarwood,Latino,2013,Number,3026,408
Fresh Meadows/Briarwood,White,2013,Number,6771,408
Elmhurst/Corona,Asian,2013,Number,7686,404
Elmhurst/Corona,Black,2013,Number,917,404
Elmhurst/Corona,Latino,2013,Number,17707,404
Elmhurst/Corona,White,2013,Number,2188,404
Rego Park/Forest Hills,Asian,2013,Number,2963,406
Rego Park/Forest Hills,Black,2013,Number,755,406
